file	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	label
AQUA_18_LED_6000K.ies	5504.5	1785.5	269.3	102.6	52.6	32.8	18.5	8.9	3.5	0.8	0	0	0	0	0	0	0	0	0	1
ATLAS_LED_10.ies	3691.1	2304	809.2	221	62.3	23.5	9.3	3.6	0.5	0.2	0	0	0	0	0	0	0	0	0	1
ATLAS_LED_30.ies	357.5	2635.1	1746.7	1275.7	654.4	294.6	151	81.9	34.8	5.4	0.5	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	1
Barro_10_(40deg).ies	1185.9	878.8	522.9	279.4	130.5	25.4	17	11	1.7	0.8	0	0	0	0	0	0	0	0	0	1
Barro_25_(32deg).ies	3030.1	2629.7	1201.5	716.1	277.5	68.2	47.8	31.6	7	1.2	0	0	0	0	0	0	0	0	0	1
Barro_7_Spot.ies	1330.9	1080.4	440.4	102.9	1.4	0.2	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	1
BELL_T_LED_35_D15_4000K.ies	13795.3	6398.6	1851.2	1083.3	235.5	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BELL_T_LED_35_D25_4000K.ies	9548.5	7345.9	1692.7	1063.5	235.3	1.1	0.7	0	0.4	0	0	0	0	0	0	0	0	0	0	1
DL_POWER_LED_60_D40_IP66_4000K.ies	7464.3	6692	4008	2527.1	1686.9	415.1	69.9	39.1	6	0.2	0	0	0	0	0	0	0	0	0	1
DL_SMALL.ies	553.8	438.1	200.8	34.6	8.1	6	2.8	0.8	0.1	0	0	0	0	0	0	0	0	0	0	1
FLIP_T_LED_36_W_D20_4000K.ies	11702.6	5438.7	2132.7	976.7	103.4	26.1	22.8	8.6	7.8	6.7	0	0	0	0	0	0	0	0	0	1
FLIP_T_LED_36_W_D25_4000K.ies	8571.4	5645.8	2239.8	979.4	102.3	34	18.3	10.8	7.1	7.8	0	0	0	0	0	0	0	0	0	1
